Symmetric group,Partition,Conjugacy class size
S2,1+1,1
S2,2,1
S3,1+1+1,1
S3,2+1,3
S3,3,2
S4,1+1+1+1,1
S4,2+1+1,6
S4,2+2,3
S4,3+1,8
S4,4,6
S5,1+1+1+1+1,1
S5,2+1+1+1,10
S5,2+2+1,15
S5,3+1+1,20
S5,3+2,20
S5,4+1,30
S5,5,24
S6,1+1+1+1+1+1,1
S6,2+1+1+1+1,15
S6,2+2+1+1,45
S6,2+2+2,15
S6,3+1+1+1,40
S6,3+2+1,120
S6,3+3,40
S6,4+1+1,90
S6,4+2,90
S6,5+1,144
S6,6,120
S7,1+1+1+1+1+1+1,1
S7,2+1+1+1+1+1,21
S7,2+2+1+1+1,105
S7,2+2+2+1,105
S7,3+1+1+1+1,70
S7,3+2+1+1,420
S7,3+2+2,210
S7,3+3+1,280
S7,4+1+1+1,210
S7,4+2+1,630
S7,4+3,420
S7,5+1+1,504
S7,5+2,504
S7,6+1,840
S7,7,720
S8,1+1+1+1+1+1+1+1,1
S8,2+1+1+1+1+1+1,28
S8,2+2+1+1+1+1,210
S8,2+2+2+1+1,420
S8,2+2+2+2,105
S8,3+1+1+1+1+1,112
S8,3+2+1+1+1,1120
S8,3+2+2+1,1680
S8,3+3+1+1,1120
S8,3+3+2,1120
S8,4+1+1+1+1,420
S8,4+2+1+1,2520
S8,4+2+2,1260
S8,4+3+1,3360
S8,4+4,1260
S8,5+1+1+1,1344
S8,5+2+1,4032
S8,5+3,2688
S8,6+1+1,3360
S8,6+2,3360
S8,7+1,5760
S8,8,5040
S9,1+1+1+1+1+1+1+1+1,1
S9,2+1+1+1+1+1+1+1,36
S9,2+2+1+1+1+1+1,378
S9,2+2+2+1+1+1,1260
S9,2+2+2+2+1,945
S9,3+1+1+1+1+1+1,168
S9,3+2+1+1+1+1,2520
S9,3+2+2+1+1,7560
S9,3+2+2+2,2520
S9,3+3+1+1+1,3360
S9,3+3+2+1,10080
S9,3+3+3,2240
S9,4+1+1+1+1+1,756
S9,4+2+1+1+1,7560
S9,4+2+2+1,11340
S9,4+3+1+1,15120
S9,4+3+2,15120
S9,4+4+1,11340
S9,5+1+1+1+1,3024
S9,5+2+1+1,18144
S9,5+2+2,9072
S9,5+3+1,24192
S9,5+4,18144
S9,6+1+1+1,10080
S9,6+2+1,30240
S9,6+3,20160
S9,7+1+1,25920
S9,7+2,25920
S9,8+1,45360
S9,9,40320
S10,1+1+1+1+1+1+1+1+1+1,1
S10,2+1+1+1+1+1+1+1+1,45
S10,2+2+1+1+1+1+1+1,630
S10,2+2+2+1+1+1+1,3150
S10,2+2+2+2+1+1,4725
S10,2+2+2+2+2,945
S10,3+1+1+1+1+1+1+1,240
S10,3+2+1+1+1+1+1,5040
S10,3+2+2+1+1+1,25200
S10,3+2+2+2+1,25200
S10,3+3+1+1+1+1,8400
S10,3+3+2+1+1,50400
S10,3+3+2+2,25200
S10,3+3+3+1,22400
S10,4+1+1+1+1+1+1,1260
S10,4+2+1+1+1+1,18900
S10,4+2+2+1+1,56700
S10,4+2+2+2,18900
S10,4+3+1+1+1,50400
S10,4+3+2+1,151200
S10,4+3+3,50400
S10,4+4+1+1,56700
S10,4+4+2,56700
S10,5+1+1+1+1+1,6048
S10,5+2+1+1+1,60480
S10,5+2+2+1,90720
S10,5+3+1+1,120960
S10,5+3+2,120960
S10,5+4+1,181440
S10,5+5,72576
S10,6+1+1+1+1,25200
S10,6+2+1+1,151200
S10,6+2+2,75600
S10,6+3+1,201600
S10,6+4,151200
S10,7+1+1+1,86400
S10,7+2+1,259200
S10,7+3,172800
S10,8+1+1,226800
S10,8+2,226800
S10,9+1,403200
S10,10,362880
S11,1+1+1+1+1+1+1+1+1+1+1,1
S11,2+1+1+1+1+1+1+1+1+1,55
S11,2+2+1+1+1+1+1+1+1,990
S11,2+2+2+1+1+1+1+1,6930
S11,2+2+2+2+1+1+1,17325
S11,2+2+2+2+2+1,10395
S11,3+1+1+1+1+1+1+1+1,330
S11,3+2+1+1+1+1+1+1,9240
S11,3+2+2+1+1+1+1,69300
S11,3+2+2+2+1+1,138600
S11,3+2+2+2+2,34650
S11,3+3+1+1+1+1+1,18480
S11,3+3+2+1+1+1,184800
S11,3+3+2+2+1,277200
S11,3+3+3+1+1,123200
S11,3+3+3+2,123200
S11,4+1+1+1+1+1+1+1,1980
S11,4+2+1+1+1+1+1,41580
S11,4+2+2+1+1+1,207900
S11,4+2+2+2+1,207900
S11,4+3+1+1+1+1,138600
S11,4+3+2+1+1,831600
S11,4+3+2+2,415800
S11,4+3+3+1,554400
S11,4+4+1+1+1,207900
S11,4+4+2+1,623700
S11,4+4+3,415800
S11,5+1+1+1+1+1+1,11088
S11,5+2+1+1+1+1,166320
S11,5+2+2+1+1,498960
S11,5+2+2+2,166320
S11,5+3+1+1+1,443520
S11,5+3+2+1,1330560
S11,5+3+3,443520
S11,5+4+1+1,997920
S11,5+4+2,997920
S11,5+5+1,798336
S11,6+1+1+1+1+1,55440
S11,6+2+1+1+1,554400
S11,6+2+2+1,831600
S11,6+3+1+1,1108800
S11,6+3+2,1108800
S11,6+4+1,1663200
S11,6+5,1330560
S11,7+1+1+1+1,237600
S11,7+2+1+1,1425600
S11,7+2+2,712800
S11,7+3+1,1900800
S11,7+4,1425600
S11,8+1+1+1,831600
S11,8+2+1,2494800
S11,8+3,1663200
S11,9+1+1,2217600
S11,9+2,2217600
S11,10+1,3991680
S11,11,3628800
S12,1+1+1+1+1+1+1+1+1+1+1+1,1
S12,2+1+1+1+1+1+1+1+1+1+1,66
S12,2+2+1+1+1+1+1+1+1+1,1485
S12,2+2+2+1+1+1+1+1+1,13860
S12,2+2+2+2+1+1+1+1,51975
S12,2+2+2+2+2+1+1,62370
S12,2+2+2+2+2+2,10395
S12,3+1+1+1+1+1+1+1+1+1,440
S12,3+2+1+1+1+1+1+1+1,15840
S12,3+2+2+1+1+1+1+1,166320
S12,3+2+2+2+1+1+1,554400
S12,3+2+2+2+2+1,415800
S12,3+3+1+1+1+1+1+1,36960
S12,3+3+2+1+1+1+1,554400
S12,3+3+2+2+1+1,1663200
S12,3+3+2+2+2,554400
S12,3+3+3+1+1+1,492800
S12,3+3+3+2+1,1478400
S12,3+3+3+3,246400
S12,4+1+1+1+1+1+1+1+1,2970
S12,4+2+1+1+1+1+1+1,83160
S12,4+2+2+1+1+1+1,623700
S12,4+2+2+2+1+1,1247400
S12,4+2+2+2+2,311850
S12,4+3+1+1+1+1+1,332640
S12,4+3+2+1+1+1,3326400
S12,4+3+2+2+1,4989600
S12,4+3+3+1+1,3326400
S12,4+3+3+2,3326400
S12,4+4+1+1+1+1,623700
S12,4+4+2+1+1,3742200
S12,4+4+2+2,1871100
S12,4+4+3+1,4989600
S12,4+4+4,1247400
S12,5+1+1+1+1+1+1+1,19008
S12,5+2+1+1+1+1+1,399168
S12,5+2+2+1+1+1,1995840
S12,5+2+2+2+1,1995840
S12,5+3+1+1+1+1,1330560
S12,5+3+2+1+1,7983360
S12,5+3+2+2,3991680
S12,5+3+3+1,5322240
S12,5+4+1+1+1,3991680
S12,5+4+2+1,11975040
S12,5+4+3,7983360
S12,5+5+1+1,4790016
S12,5+5+2,4790016
S12,6+1+1+1+1+1+1,110880
S12,6+2+1+1+1+1,1663200
S12,6+2+2+1+1,4989600
S12,6+2+2+2,1663200
S12,6+3+1+1+1,4435200
S12,6+3+2+1,13305600
S12,6+3+3,4435200
S12,6+4+1+1,9979200
S12,6+4+2,9979200
S12,6+5+1,15966720
S12,6+6,6652800
S12,7+1+1+1+1+1,570240
S12,7+2+1+1+1,5702400
S12,7+2+2+1,8553600
S12,7+3+1+1,11404800
S12,7+3+2,11404800
S12,7+4+1,17107200
S12,7+5,13685760
S12,8+1+1+1+1,2494800
S12,8+2+1+1,14968800
S12,8+2+2,7484400
S12,8+3+1,19958400
S12,8+4,14968800
S12,9+1+1+1,8870400
S12,9+2+1,26611200
S12,9+3,17740800
S12,10+1+1,23950080
S12,10+2,23950080
S12,11+1,43545600
S12,12,39916800
